NUMERO_REGISTRO;PRODUTO_TECNICO_MARCA_COMERCIAL;INGREDIENTE_ATIVO(GRUPO_QUIMICI)(CONCENTRACAO);CLASSE;TITULAR_REGISTRO;EMPRESA_<PAIS>_TIPO;CLASSIFICACAO_TOXICOLOGICA;CLASSIFICACAO_AMBIENTAL
14019;Glufosinato Técnico OF I;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Ouro Fino Química S.A. - Uberaba; (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
11419;Glufosinato Técnico Ouro Fino;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida/Regulador de Crescimento;Ouro Fino Química S.A. - Uberaba; (Shijiazhuang Richem Co., LTD<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
TC22625;Glufosinato Técnico SCH;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Sinochem Agro do Brasil Ltda. ; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
23819;Glufosinato Técnico Sulphur Mills;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida/Regulador de Crescimento;SM Agrocare Brasil Importação Comércio e Serviços Agrícolas Ltda; (Shijiazhuang Richem Co., Ltd - Zhaoxian<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
42419;Glufosinato Técnico Sumitomo;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC12820;Glufosinato Técnico Wynca;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida;Wynca do Brasil Ltda  São Paulo ; (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
23719;Glufosinato Y Técnico Helm;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Helm do Brasil Mercantil - São Paulo/SP; (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
TC04820;Glufosinato de Amonio Técnico Pilarquim ;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Pilarquim Br Comercial Ltda.- São Paulo;;PT;III
TC05021;Glufosinato de Amônio Técnico ADA Brasil ;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
04519;Glufosinato de Amônio Técnico Adama;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
42619;Glufosinato de Amônio Técnico Adama BR;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Adama Brasil S.A.- Londrina/PR; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
13219;Glufosinato de Amônio Técnico Adama Brasil;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Huifeng Bio Agriculture Co. Ltd. - Dafeng<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
11319;Glufosinato de Amônio Técnico Adama Brasil BR;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida/Regulador de Crescimento;Adama Brasil S.A.- Londrina/PR; (Shijiazhuang Richem Co., LTD<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
